Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,Pr Passes,CCC,Cr A,Cr C/A,Tck/90,Tck R,Pres A,Pres C,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Wage,Preferred Foot,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,Con/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Bruno Varela,GK,30,CPV,"6'3""",85 kg,Perfectionist,VTSC,£180K - £1.8M,6.53,0,0,-,-,-,-,0,-,26.45,82%,-,0,0,-,-,0,0%,0,0,0,-,-,1,-,-,-,0,-,7,5.8km,1,0,0,14,"1,174",0,0,0,83.86,-,-,-,76.1km,0,-,0,0,419,345,2,0,30/6/2025,"£6,500 p/w",Right,0,-,0,0,3.76,6.67,0,0,0,0,-,-1.79,88%,-,0,7,-0.14,0,65%,9,18,1.38,0.15,0,0%,0,Portuguese Premier League,Shot Stopper,Goalkeeper,Level-headed,-,-,1.3,-,-,-,-,0,-,-,-,32.12,-,-,0,2,,- - -
Adama Traoré,M/AM (RL),28,ESP,"5'10""",72 kg,Balanced,Fulham,£14M - £17M,6.78,0,0,-,1.63,50%,0.82,0.55,0.27,28.28,83%,1.9,5,2,35,14%,1.63,60%,39,15,0,2.72,5,4,7.07,4.62,65%,0,3.81,3,14.3km,0,0,0,3 (5),331,6,1,0,41.38,3,26,5,52.7km,14,17,10,7,126,104,10,6,30/6/2024,"£65,000 p/w",Right,0.54,0.82,0.09,18.76,7.61,15.77,10.6,4.08,1.36,0.21,3,-,-,-,1.9,-,-,7,-,-,-,-,-,0.15,-,0.55,English Premier Division,Physical,Dynamic winger,Media-friendly,0,0.54,1.36,9.52,1.36,0,2.45,0,14%,9.52,1.36,34.26,0.27,0.27,0.15,-,Inj,- - -
Álvaro Valles,GK,27,ESP,"6'3""",78 kg,Fairly Professional,Las Palmas,£350K - £3.4M,6.83,0,0,-,-,-,-,0,-,21.42,75%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,3,6.2km,0,0,0,12,"1,080",0,0,0,90,-,-,-,74.2km,0,-,0,0,342,257,0,-,30/6/2024,"£3,000 p/w",Right,0,-,0,0,4.42,5.92,0,0,0,0,-,7.06,89%,-,0,8,0.59,0,80%,13,31,1.08,0.42,0,-,0,Spanish First Division,Shot Stopper,Goalkeeper,Level-headed,-,-,5.67,-,-,-,-,0,-,-,-,28.5,-,-,0,4,,- - -
Craig Gordon,GK,41,SCO,"6'4""",83 kg,Professional,Hearts,£8K - £85K,7.03,0,0,-,-,-,-,0,-,18.27,74%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,6,5.6km,0,0,0,18,"1,507",0,0,0,83.72,-,-,-,94.4km,0,-,0,0,411,306,3,0,31/5/2024,"£3,500 p/w",Left Only,0,-,0,0,4.54,7.35,0,0,0,0,-,5.84,85%,-,0,10,0.35,0,78%,15,37,1.02,0.42,0,0%,0,cinch Premiership,Assertive,Veteran goalkeeper,Unflappable,-,-,7.52,-,-,-,-,0,-,-,-,24.55,-,-,0,3,Sct,- - -
Tim Krul,GK,36,NED,"6'2""",83 kg,Fairly Professional,Luton,£140K - £1.4M,6.96,0,0,-,-,-,-,0,-,13.6,59%,-,9,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,0,6.2km,0,0,0,6 (1),556,0,0,0,79.43,-,-,-,38.3km,0,-,0,0,143,84,0,-,30/6/2024,"£30,000 p/w",Left Only,0,-,0,0.16,3.72,10.36,0,0,1.46,0,-,-0.93,88%,-,0,3,-0.15,0,76%,10,10,1.29,0.65,0,-,0,Sky Bet Championship,Assertive,Veteran goalkeeper,Level-headed,-,-,8.42,-,-,-,-,0,-,-,-,23.15,-,-,0,3,Inj,- - -
Ryuki Miura,GK,32,JPN,"5'11""",74 kg,Balanced,Iwata,£110K - £325K,7.16,0,0,-,-,-,-,0,-,12.7,62%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,29,0.3km,0,0,0,40 (1),"3,586",0,0,0,87.46,-,-,-,10.3km,0,-,0,0,813,506,0,-,31/1/2024,"£5,500 p/w",Right,0,-,0,0,0.23,0.23,0,0,0,0,-,-0.72,86%,-,0,1,-0.02,0,60%,0,2,1.1,0.35,0,-,0,J2 League,Distributor,Experienced goalkeeper,Media-friendly,-,-,0.23,-,-,-,-,0,-,-,-,20.4,-,-,0,0,,- - -
Steve Mandanda,GK,39,FRA,"6'1""",82 kg,Fairly Professional,Rennes,£230K - £700K,6.76,0,0,-,-,-,-,0,-,18.67,82%,-,0,0,-,-,0.08,50%,0,0,0,-,-,0,-,-,-,0,-,4,6.2km,0,0,0,12,"1,080",0,0,0,90,-,-,-,73.8km,0,-,0,0,273,224,2,1,30/6/2024,"£51,000 p/w",Right,0,-,0,0,2.25,9.5,0,0,0,0,-,-0.26,88%,-,0,3,-0.02,0,69%,11,18,1.25,0.25,0,50%,0,Ligue 1 Uber Eats,Assertive,Veteran goalkeeper,Level-headed,-,-,1.33,-,-,-,-,0,-,-,-,22.75,-,-,0,2,Wnt,- - -
Luca De La Torre,"M (LC), AM (RLC)",26,USA,"5'10""",68 kg,Balanced,Vigo,£4.4M - £5.6M,6.66,0,0,-,1.25,0%,0,0.38,-,26.47,83%,1.25,7,0,3,33%,1.87,100%,35,10,0,1.87,1,1,3.43,0.62,18%,0,1.25,3,13.0km,0,0,1,1 (7),289,4,0,0,36.12,0,11,1,41.8km,4,2,6,4,102,85,6,6,30/6/2025,"£3,900 p/w",Left,0,0.31,0.1,14.01,8.1,20.87,10.9,3.11,2.18,0.11,1,-,-,-,1.25,-,-,4,-,-,-,-,-,0.12,-,0.38,Spanish First Division,Creative,Winger,Media-friendly,0,-,0.31,0.93,0.31,0,2.8,0,33%,0.93,0.31,31.76,0,0.93,0.12,-,,- - -
Frederik Rønnow,GK,32,DEN,"6'3""",81 kg,Fairly Professional,Union Berlin,Not for Sale,6.78,0,0,-,-,-,-,0,-,24.1,77%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,5,5.8km,0,0,0,10,900,0,0,0,90,-,-,-,58.4km,0,-,0,0,312,241,2,0,30/6/2025,"£29,000 p/w",Right Only,0,-,0,0,3.9,11,0,0,0,0,-,-0.84,88%,-,0,5,-0.08,0,74%,10,22,1.3,0.1,0,0%,0,Bundesliga,Shot Stopper,Experienced goalkeeper,Reserved,-,-,3,-,-,-,-,0,-,-,-,31.2,-,-,0,3,,- - -
Dénes Dibusz,GK,33,HUN,"6'2""",81 kg,Fairly Loyal,Ferencváros,Not for Sale,7.27,0,0,-,-,-,-,0,-,13.45,62%,0.06,3,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,1,-,5,3.3km,0,0,0,19,"1,546",0,0,0,81.37,-,-,-,56.3km,0,-,0,1,374,231,1,0,30/6/2026,"£8,750 p/w",Right,0,-,0,0.06,2.33,4.42,0,0,0.17,0,-,3.15,85%,-,0.06,4,0.18,1,83%,3,18,0.7,0.7,0,0%,0,Hungarian Division I,Shot Stopper,Experienced goalkeeper,Level-headed,-,-,3.55,-,-,-,-,0,-,-,-,21.77,-,-,0,1,,- - -
Andries Noppert,GK,30,NED,"6'8""",87 kg,Perfectionist,sc Heerenveen,£5.4M - £8.2M,7.07,0,0,-,-,-,-,0,-,16.73,69%,0.09,0,0,-,-,0.18,67%,0,0,0,-,-,0,-,-,-,0,-,6,6.0km,0,0,0,11,990,0,0,0,90,-,-,-,65.7km,0,-,0,1,265,184,3,2,30/6/2026,"£3,000 p/w",Left Only,0,-,0,0,3.45,9.64,0,0,0,0,-,6.02,90%,-,0.09,5,0.55,1,82%,8,20,0.82,0.36,0,67%,0,Eredivisie,Assertive,Strong goalkeeper,Evasive,-,-,6.64,-,-,-,-,0,-,-,-,24.09,-,-,0,3,,- - -
Marco Bizot,GK,33,NED,"6'4""",88 kg,Spirited,Brest,Not for Sale,6.67,0,0,-,-,-,-,0,-,25.95,82%,-,4,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,11,6.2km,0,0,0,13,"1,037",0,0,0,79.77,-,-,-,70.9km,0,-,0,0,364,299,1,0,30/6/2025,"£12,250 p/w",Right Only,0,-,0,0,3.3,8.94,0,0,0.35,0,-,-0.01,90%,-,0,7,0,0,75%,14,24,1.3,0.26,0,0%,0,Ligue 1 Uber Eats,Distributor,Experienced goalkeeper,Evasive,-,-,6.34,-,-,-,-,0,-,-,-,31.59,-,-,0,3,,- - -
Oliver Baumann,GK,34,GER,"6'2""",82 kg,Professional,TSG Hoffenheim,£1.6M - £3.3M,6.33,0,0,-,-,-,-,0,-,18.15,62%,-,1,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,1,-,4,5.8km,0,0,0,13,"1,170",0,0,0,90,-,-,-,75.6km,0,-,0,0,383,236,1,0,30/6/2025,"£41,000 p/w",Right Only,0,-,0,0,4.38,10.54,0,0,0.08,0,-,-7.3,86%,-,0,11,-0.56,0,64%,13,21,2,0,0,0%,0,Bundesliga,Shot Stopper,Experienced goalkeeper,Level-headed,-,-,1.31,-,-,-,-,0,-,-,-,29.46,-,-,0,3,,- - -
Jung Sung Ryong,GK,39,KOR,"6'3""",91 kg,Fairly Professional,Kawasaki-F,£28K - £85K,6.65,0,0,-,-,-,-,0,-,13.78,62%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,5,4.8km,0,0,0,18,"1,620",0,0,0,90,-,-,-,86.3km,0,-,0,0,399,248,1,0,31/1/2024,"£9,000 p/w",Right,0,-,0,0,2.5,7.39,0,0,0,0,-,-1.59,90%,-,0,9,-0.09,0,75%,16,26,1.22,0.28,0,0%,0,J1 League,Distributor,Veteran goalkeeper,Reserved,-,-,5.56,-,-,-,-,0,-,-,-,22.17,-,-,0,2,,- - -
Vanja Milinković-Savić,GK,27,SRB,"6'8""",92 kg,Fairly Determined,Torino,£550K - £7.8M,6.52,0,0,-,-,-,-,0,-,19.86,82%,0.88,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,1,-,5,6.4km,0,0,0,12,"1,024",0,0,0,85.33,-,-,-,72.7km,0,-,0,10,276,226,1,0,30/6/2025,"£21,500 p/w",Right,0,-,0,0,2.64,9.32,0,0,0,0,-,-1.08,89%,-,0,5,-0.09,0,62%,6,11,1.14,0.35,0,0%,0,Italian Serie A,Distributor,Goalkeeper,Level-headed,-,-,0.97,-,-,-,-,0,-,-,-,24.26,-,-,0,1,nEU,- - -
Yvon Mvogo,GK,30,SUI,"6'2""",90 kg,Fairly Professional,FC Lorient,£3.4M - £6.6M,7.12,0,0,-,-,-,-,0,-,12.77,54%,-,1,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,5,5.4km,0,0,0,13,"1,170",0,0,0,90,-,-,-,69.6km,0,-,0,0,305,166,1,0,30/6/2027,"£11,750 p/w",Right Only,0,-,0,0,4.77,9,0,0,0.08,0,-,4.76,89%,-,0,3,0.37,0,81%,6,17,0.46,0.69,0,0%,0,Ligue 2 BKT,Distributor,Goalkeeper,Level-headed,-,-,7.23,-,-,-,-,0,-,-,-,23.46,-,-,0,2,,- - -
Mauricio Isla,D/WB (R),36,CHI,"5'9""",74 kg,Balanced,Colo Colo,£2.5K - £28K,7.35,1,0,-,0.19,100%,0.19,0.03,-,37.25,89%,0.76,25,1,6,-,2.65,78%,39,12,3,1.89,5,6,3.78,1.13,30%,0,1.51,11,9.7km,2,0,0,5 (1),476,1,0,0,79.33,1,20,0,51.1km,8,6,10,4,221,197,18,14,30/6/2024,"£7,500 p/w",Right,0.19,0.38,0.03,10.78,10.59,9.83,7.37,2.27,4.73,0.15,2,-,-,100%,0.76,-,-,4,-,-,-,-,-,0.01,-,0.03,Chilean First Division,Technical,Attacking full back,Media-friendly,0,0.19,0.95,1.13,0,0,2.65,0.57,0%,1.13,0,41.79,0.95,0.19,0.01,-,,- - -
Mohamed El Shenawy,GK,35,EGY,"6'3""",86 kg,Fairly Determined,Al-Ahly,£180K - £1.8M,7.78,0,0,-,-,-,-,0,-,13.62,64%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,2,1.5km,0,0,0,8,720,0,0,0,90,-,-,-,12.1km,0,-,0,0,170,109,1,0,31/7/2024,"£13,250 p/w",Right Only,0,-,0,0,0.25,1.88,0,0,0,0,-,0.08,86%,-,0,2,0.01,0,80%,2,4,0.62,0.62,0,0%,0,Egyptian Premier League,Distributor,Veteran goalkeeper,Level-headed,-,-,1.62,-,-,-,-,0,-,-,-,21.25,-,-,0,1,,- - -
Corentin Tolisso,"DM, M/AM (C)",30,FRA,"5'11""",81 kg,Resolute,OL,£325K - £3.2M,6.67,0,0,-,0.64,0%,0,0.03,0.64,48.86,96%,1.29,10,0,0,-,1.93,100%,15,2,0,1.93,1,0,3.86,2.57,67%,0,-,2,13.2km,0,0,0,0 (10),140,1,1,0,14,0,6,0,20.6km,0,4,3,2,79,76,3,3,30/6/2026,"£79,000 p/w",Right,0,-,0.03,9,11.57,3.21,9.64,1.29,6.43,0.23,0,-,-,-,1.29,-,-,2,-,-,-,-,-,0.02,-,0.03,Ligue 1 Uber Eats,Creative,Defensive midfielder,Level-headed,0,-,0.64,0,0,0,1.29,0,-,0,0,50.79,0,0.64,0.02,-,,- - -
Pedro Gallese,GK,34,PER,"6'2""",78 kg,Fairly Ambitious,Orlando City,Not for Sale,7.6,0,0,-,-,-,-,0,-,14.19,66%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,28,0.6km,0,0,0,31,"2,790",0,0,0,90,-,-,-,18.8km,0,-,0,0,662,440,0,-,31/12/2024,"£29,000 p/w",Left,0,-,0,0,0.71,0.42,0,0,0,0,-,-1.93,90%,-,0,2,-0.06,0,57%,0,6,0.87,0.42,0,-,0,Major League Soccer,Shot Stopper,Experienced goalkeeper,Level-headed,-,-,0.23,-,-,-,-,0,-,-,-,21.35,-,-,0,0,,- - -
Cristóbal Campos,GK,25,CHI,"6'1""",81 kg,Balanced,San Antonio Unido,£12K - £120K,7.78,0,0,-,-,-,-,0,-,12.11,61%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,13,0.0km,0,0,0,18,"1,620",0,0,0,90,-,-,-,0.0km,0,-,0,0,360,218,0,-,31/12/2023,"£2,900 p/w",Right,0,-,0,0,0,0,0,0,0,0,-,0,0%,-,0,0,0,0,0%,0,0,1,0.44,0,-,0,Chilean Second Division,Shot Stopper,Goalkeeper,Media-friendly,-,-,0,-,-,-,-,0,-,-,-,20,-,-,0,-,,- - -
Abel Hernández,ST (C),34,URU,"6'1""",73 kg,Fairly Sporting,Liverpool F.C.,£3K - £30K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31/12/2023,"£5,500 p/w",Left,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Uruguayan First Division,Technical,Well-travelled striker,Media-friendly,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- - -
Aitor Fernández,GK,33,ESP,"6'0""",78 kg,Balanced,Atlético Pamplona,£200K - £2M,6.7,0,0,-,-,-,-,0,-,23.91,85%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,3,6.1km,0,0,0,11,990,0,0,0,90,-,-,-,67.2km,0,-,0,0,309,263,2,0,30/6/2024,"£22,000 p/w",Right,0,-,0,0,3.64,7.45,0,0,0,0,-,2.82,87%,-,0,4,0.26,0,71%,12,19,1.27,0.09,0,0%,0,Spanish First Division,Assertive,Experienced goalkeeper,Level-headed,-,-,0.55,-,-,-,-,0,-,-,-,28.09,-,-,0,3,,- - -
Marco Silvestri,GK,33,ITA,"6'3""",80 kg,Fairly Professional,Sampdoria,£190K - £5.4M,6.8,0,0,-,-,-,-,0,-,16.75,64%,-,0,0,-,-,0.09,50%,0,0,0,-,-,0,-,-,-,0,-,7,5.5km,0,0,0,12,994,0,0,0,82.83,-,-,-,60.7km,0,-,0,0,290,185,2,1,30/6/2024,"£30,500 p/w",Right,0,-,0,0,3.62,8.69,0,0,0,0,-,0.77,85%,-,0,7,0.07,0,73%,9,18,1.18,0.36,0,50%,0,Italian Serie B,Shot Stopper,Experienced goalkeeper,Level-headed,-,-,7.52,-,-,-,-,0,-,-,-,26.26,-,-,0,3,,- - -
Sergio Rico,GK,31,ESP,"6'5""",90 kg,Fairly Professional,Al-Gharafa,£9.2M - £11M,7.38,0,0,-,-,-,-,0,-,12.58,59%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,6,0.0km,0,0,0,11 (1),"1,016",0,0,0,84.67,-,-,-,0.0km,0,-,0,0,240,142,0,-,30/6/2024,"£43,000 p/w",Right,0,-,0,0,0,0,0,0,0,0,-,0,0%,-,0,0,0,0,0%,0,0,0.71,0.53,0,-,0,Qatar Stars League,Shot Stopper,Goalkeeper,Reserved,-,-,0,-,-,-,-,0,-,-,-,21.26,-,-,0,-,,- - -
Marvin Schwäbe,GK,29,GER,"6'3""",86 kg,Light-Hearted,1. FC Köln,£800K - £9M,6.82,0,0,-,-,-,-,0,-,24.39,88%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,8,6.0km,0,0,0,12,"1,070",0,0,0,89.17,-,-,-,71.1km,0,-,0,0,329,290,1,0,30/6/2026,"£27,000 p/w",Right Only,0,-,0,0,3.62,5.64,0,0,0,0,-,2.07,84%,-,0,5,0.17,0,70%,14,15,1.18,0.25,0,0%,0,Bundesliga 2,Shot Stopper,Goalkeeper,Unflappable,-,-,5.47,-,-,-,-,0,-,-,-,27.67,-,-,0,2,Wnt,- - -
Jose Aurelio Suarez,GK,28,ESP,"6'2""",85 kg,Balanced,Tokushima,£90K - £275K,7.4,0,0,-,-,-,-,0,-,12.87,60%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,20,0.0km,0,0,0,38 (3),"3,454",0,0,0,84.24,-,-,-,0.0km,0,-,0,0,820,494,0,-,31/1/2024,"£4,300 p/w",Right,0,-,0,0,0,0,0,0,0,0,-,0,0%,-,0,0,0,0,0%,0,0,1.25,0.36,0,-,0,J2 League,Shot Stopper,Goalkeeper,Media-friendly,-,-,0,-,-,-,-,0,-,-,-,21.37,-,-,0,-,Wnt,- - -
Antonio Sivera,GK,28,ESP,"6'1""",75 kg,Fairly Professional,Alavés,£4.7M - £8.6M,6.73,0,0,-,-,-,-,0,-,23.52,86%,-,3,0,-,-,-,-,0,0,0,-,-,1,-,-,-,0,-,3,5.7km,1,0,0,7,616,0,0,0,88,-,-,-,39.1km,0,-,0,0,188,161,0,-,30/6/2026,"£13,000 p/w",Right Only,0,-,0,0,4.24,7.31,0,0,0.44,0,-,-0.92,90%,-,0,1,-0.13,0,65%,8,10,1.46,0.44,0,-,0,Spanish First Division,Shot Stopper,Instinctive goalkeeper,Reserved,-,-,2.63,-,-,-,-,0,-,-,-,27.47,-,-,0,2,,- - -
Sebastián Pérez,GK,33,CHI,"5'11""",76 kg,Balanced,Univ. Católica,Not for Sale,6.82,0,0,-,-,-,-,0,-,12.72,58%,-,0,0,-,-,0.08,33%,0,0,0,-,-,0,-,-,-,0,-,2,3.3km,0,0,0,15,"1,160",0,0,0,77.33,-,-,-,42.7km,0,-,0,0,283,164,3,1,31/12/2025,"£3,300 p/w",Right,0,-,0,0,2.64,4.81,0,0,0,0,-,-0.44,90%,-,0,5,-0.03,0,70%,4,13,1.24,0.54,0,33%,0,Chilean First Division,Shot Stopper,Experienced goalkeeper,Media-friendly,-,-,3.8,-,-,-,-,0,-,-,-,21.96,-,-,0,1,,- - -
Jakub Jankto,"M (RLC), AM (RL)",28,CZE,"6'0""",74 kg,Fairly Determined,Cagliari,£130K - £1.3M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2024,"£30,500 p/w",Left,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Italian Serie A,Intelligent,Winger,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sct,- - -
Fernando de Paul,GK,33,CHI,"6'0""",83 kg,Balanced,Colo Colo,Not for Sale,7.53,0,0,-,-,-,-,0,-,18.24,75%,-,0,0,-,-,0,0%,0,0,0,-,-,1,-,-,-,0,-,2,4.5km,1,0,0,7 (1),686,0,0,0,85.75,-,-,-,34.1km,0,-,0,0,185,139,1,0,31/12/2025,"£3,200 p/w",Right Only,0,-,0,0,3.02,5.51,0,0,0,0,-,6.43,86%,-,0,6,0.84,0,92%,3,14,0.52,0.66,0,0%,0,Chilean First Division,Distributor,Experienced goalkeeper,Level-headed,-,-,5.25,-,-,-,-,0,-,-,-,24.27,-,-,0,3,,- - -
Chris Richards,"D (RLC), WB (R), DM",24,USA,"6'2""",78 kg,Resolute,Crystal Palace,£7.6M - £9.4M,6.69,0,0,-,0.91,50%,0.45,0.14,-,48.64,91%,1.14,16,1,27,7%,1.82,73%,39,14,1,2.27,7,7,6.59,3.41,52%,0,3.41,2,13.9km,1,0,1,4 (7),396,4,0,0,36,2,29,2,61.3km,15,15,10,5,235,214,11,8,30/6/2026,"£50,000 p/w",Right,0.23,1.14,0.04,18.86,8.18,13.18,8.86,3.18,3.64,0.1,5,-,-,-,1.14,-,-,5,-,-,-,-,-,0.03,-,0.14,English Premier Division,Physical,Centre-back,"Media-friendly, Reserved",0,0.23,1.59,6.14,0.45,0,3.18,0.23,7%,6.14,0.45,53.41,0.68,0.23,0.03,-,,- - -
Luiz Gustavo,"DM, M (C)",37,BRA,"6'1""",83 kg,Professional,SPO,£1K - £9K,6.7,0,0,-,-,0%,-,0.79,-,-,79%,-,1,0,0,-,-,100%,7,1,0,-,0,2,-,-,50%,0,-,0,-,0,0,0,0 (3),52,1,0,0,17.33,0,4,0,7.2km,0,2,0,1,29,23,1,1,31/12/2023,"£5,250 p/w",Left,-,-,0.79,-,-,-,-,-,-,-,0,-,-,-,-,-,-,1,-,-,-,-,-,-,-,0.79,Brazilian National First Division,Leader,Veteran midfielder,Level-headed,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,Loa,- - -
Jamie Vardy,ST (C),37,ENG,"5'10""",72 kg,Perfectionist,Leicester,£140K - £1.4M,6.82,3,1,100%,1.78,100%,1.78,1.56,-,12.92,74%,0.45,3,0,4,-,0.89,50%,17,4,0,1.78,0,4,12.92,1.34,10%,0,0.89,2,14.5km,0,0,0,1 (8),202,4,0,1,22.44,4,29,0,32.6km,2,3,4,1,39,29,4,2,30/6/2024,"£80,000 p/w",Right,0,-,0.39,5.35,3.56,6.24,7.57,1.78,1.34,0,0,-,-,75%,0.45,-,-,1,-,-,-,-,-,0.34,-,0.77,English Premier Division,Leader,Veteran striker,Evasive,0,-,0,1.78,0,0,11.58,0,0%,1.78,0,17.38,0,0,0.7,-,,- - -
Jonas Lössl,GK,35,DEN,"6'5""",89 kg,Fairly Professional,FC Midtjylland,Not for Sale,6.96,0,0,-,-,-,-,0,-,19.31,74%,-,0,0,-,-,0.06,25%,0,0,0,-,-,0,-,-,-,0,-,5,6.1km,0,0,0,20,"1,547",0,0,0,77.35,-,-,-,104.5km,0,-,0,0,448,332,4,1,30/6/2025,"£13,000 p/w",Right,0,-,0,0,4.25,7.45,0,0,0,0,-,5.24,87%,-,0,11,0.3,0,80%,22,27,0.93,0.64,0,25%,0,3F Superliga,Assertive,Veteran goalkeeper,Reserved,-,-,7.33,-,-,-,-,0,-,-,-,26.06,-,-,0,3,,- - -
Daiki Hotta,GK,30,JPN,"6'0""",78 kg,Professional,Okayama,£85K - £250K,7.29,0,0,-,-,-,-,0,-,12.2,61%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,21,0.0km,0,0,0,40,"3,600",0,0,0,90,-,-,-,0.0km,0,-,0,0,800,488,0,-,31/1/2024,"£4,100 p/w",Left,0,-,0,0,0,0,0,0,0,0,-,0,0%,-,0,0,0,0,0%,0,0,0.97,0.4,0,-,0,J2 League,Distributor,Goalkeeper,"Media-friendly, Reserved",-,-,0,-,-,-,-,0,-,-,-,20,-,-,0,-,Wnt,- - -
Kohei Kawata,GK,37,JPN,"6'0""",77 kg,Fairly Sporting,Kofu,£0 - £20K,6.96,0,0,-,-,-,-,0,-,13.12,62%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,18,0.6km,0,0,0,39 (2),"3,526",0,0,0,86,-,-,-,23.2km,0,-,0,0,827,514,0,-,31/1/2024,"£4,600 p/w",Right Only,0,-,0,0,0.59,0.43,0,0,0,0,-,1.17,93%,-,0,2,0.03,0,81%,3,4,1.35,0.23,0,-,0,J2 League,Shot Stopper,Veteran goalkeeper,Level-headed,-,-,0.74,-,-,-,-,0,-,-,-,21.11,-,-,0,0,,- - -
Vicente Guaita,GK,37,ESP,"6'3""",81 kg,Fairly Determined,Vigo,£85K - £850K,6.75,0,0,-,-,-,-,0,-,18.7,70%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,3,6.2km,0,0,0,10,900,0,0,0,90,-,-,-,62.2km,0,-,0,0,269,187,1,0,30/6/2024,"£13,250 p/w",Right Only,0,-,0,0.2,3.5,7.1,0,0,0,0,-,1.37,90%,-,0,5,0.14,0,72%,6,18,1.1,0.2,0,0%,0,Spanish First Division,Distributor,Veteran goalkeeper,Media-friendly,-,-,1.1,-,-,-,-,0,-,-,-,26.9,-,-,0,2,,- - -
Cristian Álvarez,GK,38,ARG,"6'1""",83 kg,Professional,Zaragoza,£22K - £220K,6.84,0,0,-,-,-,-,0,-,26.36,94%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,6,5.9km,0,0,0,14,"1,260",0,0,0,90,-,-,-,83.2km,0,-,0,0,392,369,2,0,30/6/2024,"£15,000 p/w",Right,0,-,0,0,4.36,6.29,0,0,0,0,-,2.26,86%,-,0,5,0.16,0,72%,16,29,1.36,0.21,0,0%,0,Spanish Second Division,Shot Stopper,Veteran goalkeeper,Evasive,-,-,4.79,-,-,-,-,0,-,-,-,28,-,-,0,3,Wnt,- - -
